#GO enrichment for all type A BioProject samples analyzed together,,,,,,
#delta.rank = the difference in the mean rank for the GO term and the mean rank for all other genes. Larger negative values indicate tendency toward downregulation under stress. Positive values indicate tendency toward upregulation.,,,,,,
#pval = the raw p-value for the GO terms enrichment,,,,,,
#nseqs = the number of genes in the dataset annotated with the GO term,,,,,,
#term = the GO term accession,,,,,,
#name = the descriptive name of the GO term,,,,,,
#p.adj =  p-value adjusted for multiple testing (Benjamini–Hochberg procedure),,,,,,
#goDivision = the division the GO term is from (BP=Biological Process; MF = Moleular Function; CC = Cellular Compnent),,,,,,
delta.rank,pval,nseqs,term,name,p.adj,goDivision
-1,0.996744086,160,GO:0001754,eye photoreceptor cell differentiation,0.998080801,BP
-1,0.997673101,61,GO:0006112,energy reserve metabolic process,0.998298103,BP
1,0.997852434,39,GO:0048520,positive regulation of behavior,0.998298103,BP
0,0.999722732,167,GO:0003007,heart morphogenesis,0.999722732,BP
1674,9.51E-14,51,GO:0000502;GO:1905369,proteasome complex,4.92E-11,CC
-599,2.50E-13,411,GO:0044427,chromosomal part,6.47E-11,CC
-1113,4.03E-12,101,GO:0000775,"chromosome, centromeric region",6.94E-10,CC
-490,2.79E-11,521,GO:0005694,chromosome,3.60E-09,CC
-1131,1.47E-09,74,GO:0000776,kinetochore,1.52E-07,CC
1234,2.00E-09,61,GO:0022626,cytosolic ribosome,1.72E-07,CC
-1172,1.20E-08,61,GO:0000779,"condensed chromosome, centromeric region",8.85E-07,CC
-1197,2.41E-08,56,GO:0000777,condensed chromosome kinetochore,1.56E-06,CC
2009,4.44E-08,19,GO:0005838,proteasome regulatory particle,2.36E-06,CC
-598,5.08E-08,221,GO:0044454,nuclear chromosome part,2.36E-06,CC
-546,5.21E-08,267,GO:0000228,nuclear chromosome,2.36E-06,CC
1037,5.48E-08,71,GO:1905368,peptidase complex,2.36E-06,CC
-722,7.71E-08,145,GO:0000793,condensed chromosome,2.97E-06,CC
1718,8.04E-08,25,GO:0005839,proteasome core complex,2.97E-06,CC
-499,9.67E-08,308,GO:0005813,centrosome,3.33E-06,CC
-1185,2.32E-07,49,GO:0005657,replication fork,7.38E-06,CC
-660,2.43E-07,161,GO:0098687,chromosomal region,7.38E-06,CC
-448,3.47E-07,353,GO:0005815,microtubule organizing center,9.97E-06,CC
1796,5.16E-07,20,GO:0022624,proteasome accessory complex,1.41E-05,CC
-536,5.98E-07,231,GO:0005819,spindle,1.54E-05,CC
1222,7.80E-07,42,GO:0022625,cytosolic large ribosomal subunit,1.92E-05,CC
-303,1.12E-06,766,GO:0015630,microtubule cytoskeleton,2.64E-05,CC
-517,3.29E-06,215,GO:0000785,chromatin,7.21E-05,CC
-1519,3.35E-06,24,GO:1990391,DNA repair complex,7.21E-05,CC
513,6.51E-06,205,GO:0030135,coated vesicle,1.35E-04,CC
318,7.62E-06,564,GO:0098805,whole membrane,1.50E-04,CC
357,7.84E-06,434,GO:0044433,cytoplasmic vesicle part,1.50E-04,CC
462,1.01E-05,244,GO:0098791,Golgi subcompartment,1.86E-04,CC
294,1.04E-05,651,GO:0043005,neuron projection,1.86E-04,CC
-860,1.60E-05,65,GO:0032993,protein-DNA complex,2.75E-04,CC
437,2.19E-05,252,GO:0031984,organelle subcompartment,3.66E-04,CC
578,2.55E-05,139,GO:0005912,adherens junction,4.11E-04,CC
-690,3.62E-05,93,GO:0000922,spindle pole,5.67E-04,CC
560,3.94E-05,141,GO:0070161,anchoring junction,5.97E-04,CC
610,4.04E-05,118,GO:0005840,ribosome,5.97E-04,CC
695,4.25E-05,90,GO:0030662,coated vesicle membrane,6.11E-04,CC
480,5.09E-05,188,GO:0005811,lipid droplet,7.11E-04,CC
1794,5.23E-05,13,GO:0030867,rough endoplasmic reticulum membrane,7.12E-04,CC
-827,5.79E-05,61,GO:0044450,microtubule organizing center part,7.67E-04,CC
-497,6.16E-05,171,GO:0099513,polymeric cytoskeletal fiber,7.95E-04,CC
1365,6.31E-05,22,GO:0036452,ESCRT complex,7.95E-04,CC
328,6.97E-05,405,GO:0044297,cell body,8.58E-04,CC
338,7.56E-05,376,GO:0043025,neuronal cell body,8.99E-04,CC
288,7.65E-05,532,GO:0044431,Golgi apparatus part,8.99E-04,CC
707,8.49E-05,80,GO:0005798,Golgi-associated vesicle,9.75E-04,CC
-934,9.38E-05,45,GO:0051233,spindle midzone,0.001054637,CC
615,9.94E-05,104,GO:0044391,ribosomal subunit,0.001093413,CC
-1033,1.10E-04,36,GO:0005814,centriole,0.001181792,CC
-1769,1.27E-04,12,GO:0005680,anaphase-promoting complex,0.001342936,CC
414,1.34E-04,226,GO:0030133,transport vesicle,0.001379264,CC
-804,1.36E-04,58,GO:0005643,nuclear pore,0.001379264,CC
575,1.44E-04,114,GO:0044445,cytosolic part,0.00143444,CC
508,1.96E-04,141,GO:0005795,Golgi stack,0.001908385,CC
-682,2.00E-04,77,GO:0005775;GO:0043202,lysosomal lumen,0.001918032,CC
-1008,2.45E-04,34,GO:0043596,nuclear replication fork,0.002298948,CC
-1165,2.73E-04,25,GO:0030894;GO:0043601,nuclear replisome,0.002524566,CC
786,2.81E-04,55,GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,0.002546359,CC
676,3.01E-04,74,GO:0042470;GO:0048770,pigment granule,0.002683827,CC
484,3.13E-04,145,GO:0044449,contractile fiber part,0.002745986,CC
450,3.52E-04,166,GO:0030136,clathrin-coated vesicle,0.003030297,CC
281,3.70E-04,446,GO:0005768,endosome,0.003135395,CC
689,4.10E-04,68,GO:0015934,large ribosomal subunit,0.003417847,CC
530,4.54E-04,114,GO:0030017,sarcomere,0.003722647,CC
-465,4.94E-04,147,GO:0061695,"transferase complex, transferring phosphorus-containing groups",0.003994038,CC
255,5.75E-04,514,GO:0098796,membrane protein complex,0.004576164,CC
-718,5.99E-04,59,GO:0005876,spindle microtubule,0.004690665,CC
-481,6.27E-04,132,GO:0005874,microtubule,0.004839934,CC
1458,6.46E-04,14,GO:0031201,SNARE complex,0.004911257,CC
266,6.61E-04,457,GO:0045202,synapse,0.004950115,CC
1283,6.71E-04,18,GO:0022627,cytosolic small ribosomal subunit,0.004958709,CC
282,8.09E-04,387,GO:0000139,Golgi membrane,0.005892464,CC
1298,8.26E-04,17,GO:0045179,apical cortex,0.005932393,CC
-486,8.40E-04,123,GO:0016323,basolateral plasma membrane,0.005951703,CC
-610,8.74E-04,77,GO:0000794,condensed nuclear chromosome,0.006105384,CC
532,9.13E-04,101,GO:0031985,Golgi cisterna,0.006290222,CC
-1413,9.49E-04,14,GO:0045120,pronucleus,0.006457133,CC
-1464,9.66E-04,13,GO:0000805,X chromosome,0.00648905,CC
-665,0.001114999,62,GO:0046930,pore complex,0.007299818,CC
-631,0.001115446,69,GO:0034399,nuclear periphery,0.007299818,CC
1192,0.001163912,19,GO:0030137,COPI-coated vesicle,0.007521783,CC
811,0.001195301,41,GO:0030660,Golgi-associated vesicle membrane,0.007629266,CC
330,0.0013991,250,GO:0030659,cytoplasmic vesicle membrane,0.008821154,CC
926,0.001540868,30,GO:0030120,vesicle coat,0.009577632,CC
994,0.001556134,26,GO:0035631,CD40 receptor complex,0.009577632,CC
330,0.001797947,239,GO:0044440,endosomal part,0.010747713,CC
-501,0.001800497,101,GO:0030880,RNA polymerase complex,0.010747713,CC
449,0.001808609,126,GO:0030016,myofibril,0.010747713,CC
1559,0.002044887,10,GO:0002102,podosome,0.011907082,CC
555,0.002049768,80,GO:0030658,transport vesicle membrane,0.011907082,CC
716,0.002213554,47,GO:0005913,cell-cell adherens junction,0.01271564,CC
1258,0.002313401,15,GO:0033176,proton-transporting V-type ATPase complex,0.012886708,CC
1017,0.002317764,23,GO:0099738,cell cortex region,0.012886708,CC
665,0.002318112,54,GO:0005925,focal adhesion,0.012886708,CC
597,0.002353459,67,GO:0030055,cell-substrate junction,0.012944022,CC
-1348,0.002378985,13,GO:0008278,cohesin complex,0.012946689,CC
307,0.002524812,260,GO:0012506,vesicle membrane,0.013499529,CC
-491,0.002555485,98,GO:0000428;GO:0055029,nuclear DNA-directed RNA polymerase complex,0.013499529,CC
677,0.002585913,51,GO:0030117;GO:0048475,membrane coat,0.013499529,CC
-1522,0.002608017,10,GO:0000940,condensed chromosome outer kinetochore,0.013499529,CC
1243,0.002611128,15,GO:0030126,COPI vesicle coat,0.013499529,CC
301,0.002706522,266,GO:0045177,apical part of cell,0.013753452,CC
444,0.002713447,119,GO:0008021;GO:0070382,synaptic vesicle,0.013753452,CC
-917,0.002910818,27,GO:0099023,tethering complex,0.014610611,CC
758,0.003157926,39,GO:0031430,M band,0.015635987,CC
1491,0.003191161,10,GO:0033565,ESCRT-0 complex,0.015635987,CC
1179,0.003205831,16,GO:0030663,COPI-coated vesicle membrane,0.015635987,CC
921,0.003366175,26,GO:0010494,cytoplasmic stress granule,0.016264604,CC
-1409,0.003483478,11,GO:0005828,kinetochore microtubule,0.01667554,CC
934,0.003550758,25,GO:0033116,endoplasmic reticulum-Golgi intermediate compartment membrane,0.016727978,CC
450,0.003585455,109,GO:0030427,site of polarized growth,0.016727978,CC
352,0.0035915,180,GO:0031252,cell leading edge,0.016727978,CC
-1338,0.003738608,12,GO:0000780,"condensed nuclear chromosome, centromeric region",0.017257684,CC
-1464,0.003786799,10,GO:0005721,pericentric heterochromatin,0.017325441,CC
672,0.004074365,47,GO:0005791,rough endoplasmic reticulum,0.018477602,CC
574,0.004271928,64,GO:0005924,cell-substrate adherens junction,0.019205103,CC
-644,0.004571615,50,GO:0072686,mitotic spindle,0.020375216,CC
-903,0.004794241,25,GO:0000803,sex chromosome,0.02118481,CC
1163,0.004875935,15,GO:0012507,ER to Golgi transport vesicle membrane,0.021363207,CC
1200,0.004998746,14,GO:0016471,vacuolar proton-transporting V-type ATPase complex,0.021548627,CC
703,0.005022837,41,GO:0000932,P-body,0.021548627,CC
686,0.005043296,43,GO:0031672,A band,0.021548627,CC
301,0.00516666,229,GO:0010008,endosome membrane,0.021894781,CC
313,0.005605042,208,GO:0098552,side of membrane,0.023559402,CC
1209,0.006432015,13,GO:0033181,plasma membrane proton-transporting V-type ATPase complex,0.026817354,CC
-1375,0.006547024,10,GO:0005656;GO:0036387,nuclear pre-replicative complex,0.027078493,CC
208,0.006938811,472,GO:0042175,nuclear outer membrane-endoplasmic reticulum membrane network,0.028471154,CC
298,0.007078683,217,GO:0098797,plasma membrane protein complex,0.028816372,CC
-1073,0.007285628,16,GO:0005652,nuclear lamina,0.029427107,CC
-231,0.007557814,367,GO:1990234,transferase complex,0.030289842,CC
212,0.007683458,438,GO:1990904,ribonucleoprotein complex,0.030556522,CC
182,0.007948036,608,GO:0005887,integral component of plasma membrane,0.031367441,CC
337,0.008172571,162,GO:0043292,contractile fiber,0.032009238,CC
-944,0.008369147,20,GO:0005747;GO:0045271;GO:0030964,mitochondrial respiratory chain complex I,0.0325327,CC
-632,0.008968011,44,GO:0046658,anchored component of plasma membrane,0.034600461,CC
-804,0.009045373,27,GO:0000152,nuclear ubiquitin ligase complex,0.034640429,CC
488,0.009113409,74,GO:0009898,cytoplasmic side of plasma membrane,0.034644355,CC
-575,0.009808587,52,GO:0005901;GO:0044853,plasma membrane raft,0.037014888,CC
922,0.009992745,20,GO:0016327,apicolateral plasma membrane,0.037436589,CC
-878,0.010113591,22,GO:0070461,SAGA-type complex,0.037616737,CC
-606,0.010416985,46,GO:0031225,anchored component of membrane,0.038468438,CC
-908,0.011177681,20,GO:0043073,germ cell nucleus,0.040984829,CC
195,0.011682244,465,GO:0005789,endoplasmic reticulum membrane,0.04253324,CC
-679,0.012125793,35,GO:0015030,Cajal body,0.043622889,CC
1072,0.012150282,14,GO:0034774,secretory granule lumen,0.043622889,CC
361,0.012544003,125,GO:0005802,trans-Golgi network,0.04472586,CC
715,0.012949948,31,GO:0005797,Golgi medial cisterna,0.045857007,CC
-724,0.013319614,30,GO:0005778;GO:0031903,peroxisomal membrane,0.046845174,CC
430,0.01383272,85,GO:0030027,lamellipodium,0.048321056,CC
445,0.013987336,79,GO:0098802,plasma membrane receptor complex,0.048533239,CC
-173,0.014174628,573,GO:0044451,nucleoplasm part,0.048793084,CC
165,0.014250978,638,GO:0031226,intrinsic component of plasma membrane,0.048793084,CC
446,0.014390478,78,GO:0098562,cytoplasmic side of membrane,0.048946561,CC
727,0.016274614,28,GO:0005923,bicellular tight junction,0.054993305,CC
397,0.016426489,95,GO:0030426,growth cone,0.055146069,CC
-1212,0.016536095,10,GO:0000808;GO:0005664,nuclear origin of replication recognition complex,0.055155877,CC
371,0.017276045,107,GO:0043235,receptor complex,0.057254584,CC
-314,0.017545393,150,GO:0044441,ciliary part,0.057776867,CC
485,0.018267111,61,GO:0030665,clathrin-coated vesicle membrane,0.059772761,CC
-260,0.018914203,216,GO:0005759,mitochondrial matrix,0.061311868,CC
-654,0.018974659,33,GO:0044452,nucleolar part,0.061311868,CC
1034,0.019790014,13,GO:0035003,subapical complex,0.063549299,CC
214,0.02042335,319,GO:0009986,cell surface,0.06517822,CC
989,0.020681075,14,GO:0016442;GO:0031332,RISC complex,0.065595802,CC
-1107,0.021723822,11,GO:0001673,male germ cell nucleus,0.068483026,CC
-1058,0.021879779,12,GO:0045239,tricarboxylic acid cycle enzyme complex,0.068556642,CC
-813,0.023083683,20,GO:0005858,axonemal dynein complex,0.071893156,CC
-1000,0.024240376,13,GO:0042575,DNA polymerase complex,0.075043559,CC
1036,0.024811473,12,GO:0070069,cytochrome complex,0.076340929,CC
481,0.024954772,56,GO:0032580,Golgi cisterna membrane,0.076340929,CC
-625,0.025140353,33,GO:0000792,heterochromatin,0.07645625,CC
-950,0.026196,14,GO:0005671,Ada2/Gcn5/Ada3 transcription activator complex,0.079200773,CC
292,0.027226142,150,GO:0005769,early endosome,0.081355609,CC
522,0.027369166,46,GO:0005801,cis-Golgi network,0.081355609,CC
-911,0.027380805,15,GO:0000307,cyclin-dependent protein kinase holoenzyme complex,0.081355609,CC
269,0.027666642,177,GO:0005911,cell-cell junction,0.081735164,CC
850,0.028403849,17,GO:0005703,polytene chromosome puff,0.083436307,CC
-898,0.029644581,15,GO:0031523,Myb complex,0.086588975,CC
524,0.030287047,44,GO:0032154,cleavage furrow,0.087968557,CC
958,0.030749631,13,GO:0043209,myelin sheath,0.088448097,CC
692,0.030794308,25,GO:0030134,COPII-coated ER to Golgi transport vesicle,0.088448097,CC
-636,0.032447656,29,GO:0000781,"chromosome, telomeric region",0.092681978,CC
-480,0.034283789,50,GO:0031526,brush border membrane,0.097388565,CC
-514,0.035408231,43,GO:0005881,cytoplasmic microtubule,0.10003309,CC
-599,0.037379192,31,GO:1902554,serine/threonine protein kinase complex,0.105027403,CC
181,0.038057321,358,GO:0030424,axon,0.106354784,CC
1047,0.038459492,10,GO:0016580,Sin3 complex,0.106900846,CC
-352,0.039025118,89,GO:0030496,midbody,0.107892973,CC
450,0.039301773,54,GO:0031594,neuromuscular junction,0.108079874,CC
736,0.039815164,20,GO:0005844,polysome,0.108636364,CC
-822,0.039924389,16,GO:0000784,"nuclear chromosome, telomeric region",0.108636364,CC
1033,0.040996009,10,GO:0044298,cell body membrane,0.110429615,CC
-338,0.041010612,95,GO:0019898,extrinsic component of membrane,0.110429615,CC
-584,0.042280735,31,GO:0030286,dynein complex,0.113259792,CC
447,0.04259686,53,GO:0032153,cell division site,0.113518435,CC
208,0.043454462,252,GO:0099503,secretory vesicle,0.115210034,CC
-931,0.043685315,12,GO:0071547,piP-body,0.115231164,CC
161,0.045389383,430,GO:0048471,perinuclear region of cytoplasm,0.11911833,CC
-533,0.045995858,36,GO:0070603,SWI/SNF superfamily-type complex,0.119744517,CC
-962,0.046091216,11,GO:0030062,mitochondrial tricarboxylic acid cycle enzyme complex,0.119744517,CC
-394,0.0465368,66,GO:0005903,brush border,0.12026662,CC
-465,0.046757429,47,GO:0044439;GO:0044438,microbody part,0.12026662,CC
480,0.047223146,44,GO:0042734,presynaptic membrane,0.120863202,CC
-954,0.047872665,11,GO:0005666,RNA polymerase III complex,0.121922009,CC
364,0.048253014,76,GO:0045335,phagocytic vesicle,0.122288277,CC
910,0.048583228,12,GO:0034706,sodium channel complex,0.122524532,CC
-373,0.050433425,71,GO:0016591,"RNA polymerase II, holoenzyme",0.126573208,CC
757,0.051190809,17,GO:0045334,clathrin-coated endocytic vesicle,0.127853374,CC
-775,0.052747686,16,GO:0033202,DNA helicase complex,0.131108431,CC
974,0.053947342,10,GO:0043194,axon initial segment,0.133448689,CC
604,0.059257094,25,GO:0016469,proton-transporting two-sector ATPase complex,0.145176626,CC
629,0.05943041,23,GO:0044304,main axon,0.145176626,CC
-836,0.059530841,13,GO:0000242,pericentriolar material,0.145176626,CC
774,0.060920148,15,GO:0005790,smooth endoplasmic reticulum,0.147867213,CC
798,0.061788843,14,GO:0033106,cis-Golgi network membrane,0.149274915,CC
-389,0.062876363,59,GO:0045495,pole plasm,0.15119572,CC
562,0.063431715,28,GO:0030670,phagocytic vesicle membrane,0.151824984,CC
-373,0.065365988,63,GO:0000123,histone acetyltransferase complex,0.155733713,CC
848,0.066276972,12,GO:0005915,zonula adherens,0.156890194,CC
928,0.066458322,10,GO:0031093,platelet alpha granule lumen,0.156890194,CC
-281,0.067016576,111,GO:0044420,extracellular matrix component,0.157488955,CC
432,0.067640392,46,GO:0032588,trans-Golgi network membrane,0.158013356,CC
-257,0.067850996,132,GO:0031514,motile cilium,0.158013356,CC
-254,0.069337968,134,GO:0098798,mitochondrial protein complex,0.160752151,CC
353,0.06999448,68,GO:0031674,I band,0.161116625,CC
-364,0.070118454,64,GO:0031248;GO:1902493,acetyltransferase complex,0.161116625,CC
-722,0.070925788,16,GO:0000124,SAGA complex,0.162250586,CC
-404,0.072088037,51,GO:0016363,nuclear matrix,0.162828367,CC
290,0.072394884,100,GO:0016607,nuclear speck,0.162828367,CC
455,0.072499574,40,GO:0030667,secretory granule membrane,0.162828367,CC
718,0.072531948,16,GO:0070822,Sin3-type complex,0.162828367,CC
-181,0.0727531,263,GO:0000323,lytic vacuole,0.162828367,CC
410,0.073872169,49,GO:0043204,perikaryon,0.164620307,CC
-790,0.075083622,13,GO:0030914,STAGA complex,0.166492788,CC
-898,0.075655374,10,GO:0036038,MKS complex,0.166492788,CC
856,0.07567854,11,GO:0005850,eukaryotic translation initiation factor 2 complex,0.166492788,CC
-261,0.076477942,120,GO:0000790,nuclear chromatin,0.167538541,CC
402,0.079632993,49,GO:0032155,cell division site part,0.173714166,CC
